,nodes
2127,19515
2128,41796
2129,1444
2130,4143
2131,74518
2132,32179
2133,33635
2134,4527
2135,8945
2136,30454
2137,15002
2138,28931
2139,31924
2140,31942
2141,73832
2142,43269
2143,47820
2144,75419
2145,39121
2146,44799
2147,77240
2148,25402
2149,44383
2150,26560
2151,35264
2152,50218
2153,27701
2154,59341
2155,23192
2156,64229
2157,65572
2158,5849
2159,35985
2160,28981
2161,62379
2162,1269
2163,42559
2164,21629
2165,79367
2166,23426
2167,40685
2168,27625
2169,73813
2170,9665
2171,59300
2172,51484
2173,20425
2174,14252
2175,49152
2176,6128
2177,33183
2178,37286
2179,15597
2180,57437
2181,27966
2182,67432
2183,41875
2184,16065
2185,8482
2186,77499
2187,37973
2188,49231
2189,19230
2190,49777
2191,22152
2192,64635
2193,78564
2194,21791
2195,76073
2196,62047
2197,26613
2198,43461
2199,42642
2200,62129
2201,69323
2202,22512
2203,23579
2204,44236
2205,67976
2206,64270
2207,50844
2208,48358
2209,71113
2210,69893
2211,33681
2212,67543
2213,70249
2214,61329
2215,13683
2216,22357
2217,15548
2218,70162
2219,42209
2220,72339
2221,69464
2222,62054
2223,64744
2224,16163
2225,55657
2226,20487
2227,62406
2228,35642
2229,76784
2230,67770
2231,72153
2232,15077
2233,57278
2234,5376
2235,55646
2236,21940
2237,28950
2238,24319
2239,32982
2240,70158
2241,33687
2242,10964
2243,39878
2244,45146
2245,67061
2246,61322
2247,79763
2248,70438
2249,69044
2250,38956
2251,55587
2252,66279
2253,49348
2254,13310
2255,16072
2256,78400
2257,2128
2258,39889
2259,57819
2260,87
2261,29495
2262,69033
2263,46906
2264,36248
2265,3721
2266,5630
2267,10313
2268,20347
2269,35983
2270,16066
2271,43259
2272,32417
2273,35262
2274,32383
2275,7300
2276,55667
2277,78334
2278,41610
2279,52428
2280,1206
2281,73112
2282,29695
2283,53367
2284,14230
2285,43180
2286,11010
2287,68464
2288,12490
2289,69217
2290,50552
2291,20311
2292,34748
2293,33091
2294,13666
2295,60303
2296,6620
2297,59131
2298,255
2299,14512
2300,22852
2301,16302
2302,78701
2303,79866
2304,65286
2305,18825
2306,58728
2307,80031
2308,45390
2309,23671
2310,55955
2311,36698
2312,58172
2313,1798
2314,19142
2315,38581
2316,23123
2317,33896
2318,68961
2319,77624
2320,71996
2321,73747
2322,4524
2323,46816
2324,51710
2325,60481
2326,24305
2327,10901
2328,26895
2329,19693
2330,55491
2331,57174
2332,74884
2333,62184
2334,39553
2335,49964
2336,24476
2337,53661
2338,21790
2339,68656
2340,62716
2341,63721
2342,52320
2343,68967
2344,66198
2345,2904
2346,44004
2347,43320
2348,36725
2349,33457
2350,63232
2351,47850
2352,51298
2353,14294
2354,31635
2355,51092
2356,30309
2357,9363
2358,40481
2359,4719
2360,427
2361,3333
2362,56906
2363,79359
2364,48922
2365,20161
2366,46304
2367,5030
2368,39842
2369,13685
2370,2384
2371,39887
2372,11189
2373,67421
2374,75050
2375,29042
2376,21311
2377,28451
2378,70324
2379,28466
2380,77977
2381,12637
2382,68539
2383,57078
2384,51874
2385,23929
2386,64382
2387,28751
2388,66204
2389,40084
2390,47514
2391,22690
2392,51411
2393,4385
2394,47239
2395,73107
2396,60333
2397,55303
2398,40151
2399,19408
2400,17080
2401,60317
2402,6924
2403,45435
2404,71061
2405,711
2406,47083
2407,7357
2408,67207
2409,61339
2410,14078
2411,40676
2412,21761
2413,22872
2414,18817
2415,40940
2416,14912
2417,67267
2418,54694
2419,37068
2420,56909
2421,79563
2422,38547
2423,52504
2424,8158
2425,60490
2426,30825
2427,79905
2428,53252
2429,35146
2430,69805
2431,5942
2432,6880
2433,57358
2434,54771
2435,56889
2436,73613
2437,50356
2438,10690
2439,47185
2440,4957
2441,37451
2442,75894
2443,18724
2444,5356
2445,54587
2446,72690
2447,53879
2448,34270
2449,26512
2450,7990
2451,40273
2452,44089
2453,25211
2454,38842
2455,4715
2456,3294
2457,3063
2458,69448
2459,44223
2460,78720
2461,5401
2462,57357
2463,62763
2464,72713
2465,79177
2466,27925
2467,56683
2468,68449
2469,33703
2470,45143
2471,13494
2472,20587
2473,73907
2474,26489
2475,12347
2476,1420
2477,10738
2478,26587
2479,18851
2480,77680
2481,36579
2482,63197
2483,51137
2484,26076
2485,18013
2486,35407
2487,62482
2488,27559
2489,68106
2490,69172
2491,44768
2492,32479
2493,65125
