,timestep,case_id,attitude,subnorms,pbc,adoption_status,geoid
432,9,6481,-0.39375,0.5,1,0,360010146112000
433,9,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
434,9,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
435,9,59215,0.125,-0.5,1,0,360010146063039
436,9,67773,0.1875,0.0,1,0,360010137061011
437,9,68058,0.0,0.0,1,0,360010137061012
438,9,27573,0.25,0.0,1,0,360010129001019
439,9,77924,0.3125,0.5,1,0,360010135082021
440,9,31635,0.625,1.0,1,0,360010018023001
441,9,59832,0.625,0.75,1,0,360010135081019
442,9,40688,0.25,1.0,1,0,360010146121026
443,9,28751,0.0,0.25,1,0,360010026004024
444,9,76090,0.1875,0.5,1,0,360010142032006
445,9,47998,0.25,0.75,1,0,360010130003015
446,9,10901,0.75,0.0,1,0,360010146091001
447,9,58440,0.125,0.5,1,0,360010148011092
448,9,52320,0.125,1.0,1,0,360010135083017
449,9,65655,-0.0625,0.5,1,0,360010142021013
450,10,7093,-0.3125,0.0,1,0,360010003003028
451,10,18854,0.0,0.0,1,0,360010002003000
452,10,67886,0.625,0.25,1,0,360010137061001
453,10,7162,0.3125,0.5,1,0,360010003003023
454,10,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
455,10,73606,0.0,0.0,1,0,360010021003000
456,10,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
457,10,31390,-0.75,0.5,1,0,360010018024005
458,10,19130,0.0,0.25,1,0,360010002001030
459,10,45605,0.9375,0.5,1,0,360010005022019
460,10,75888,-0.3125,0.5,1,0,360010139022010
461,10,14078,-0.25,0.0,1,0,360010140011009
462,10,56130,0.1875,0.5,1,0,360010135052000
463,10,78278,0.6875,0.5,1,0,360010146141000
464,10,35066,-0.0625,0.75,1,0,360010004032000
465,10,13519,-0.4375,0.0,1,0,360010139023000
466,10,13055,0.4375,0.75,1,0,360010139021015
467,10,54169,0.8125,0.75,1,0,360010141004003
468,10,38164,1.0,0.5,1,0,360010145031015
469,10,22961,0.4375,0.0,1,0,360010142024013
470,10,39225,0.0625,0.25,1,0,360010137071009
471,10,20849,0.0,0.5,1,0,360010022001002
472,10,34665,0.8125,-1.0,1,0,360010004034012
473,10,25508,0.3125,0.0,1,0,360010019022013
474,10,53642,0.75,0.75,1,0,360010138023005
475,10,72534,0.5,0.5,1,0,360010020001004
476,10,25604,-0.125,0.5,1,0,360010019022012
477,10,5685,0.5,0.75,1,0,360010138021012
478,10,68356,0.1875,1.0,1,0,360010141003000
479,10,72339,0.1875,1.0,1,0,360010020003004
480,10,41801,0.8125,0.25,1,0,360010148012037
481,10,79345,0.25,0.0,1,0,360010146142017
482,10,6481,-0.39375,0.5,1,0,360010146112000
483,10,6383,0.60625,0.25,-0.8333333333333334,0,360010146112000
484,10,69805,0.75,-0.5,-0.8333333333333334,0,360010018012016
485,10,59215,0.125,-0.5,1,0,360010146063039
486,10,67773,0.1875,0.0,1,0,360010137061011
487,10,68058,0.0,0.0,1,0,360010137061012
488,10,27573,0.25,0.0,1,0,360010129001019
489,10,77924,0.3125,0.5,1,0,360010135082021
490,10,31635,0.625,1.0,1,0,360010018023001
491,10,59832,0.625,0.75,1,0,360010135081019
492,10,40688,0.25,1.0,1,0,360010146121026
493,10,28751,0.0,0.25,1,0,360010026004024
494,10,76090,0.1875,0.5,1,0,360010142032006
495,10,47998,0.25,0.75,1,0,360010130003015
496,10,10901,0.75,0.0,1,0,360010146091001
497,10,58440,0.125,0.5,1,0,360010148011092
498,10,52320,0.125,1.0,1,0,360010135083017
499,10,65655,-0.0625,0.5,1,0,360010142021013
500,11,7093,-0.3125,0.0,1,0,360010003003028
501,11,18854,0.0,0.0,1,0,360010002003000
502,11,67886,0.625,0.25,1,0,360010137061001
503,11,7162,0.3125,0.5,1,0,360010003003023
504,11,45565,0.125,0.5,-0.8333333333333334,0,360010005022000
505,11,73606,0.0,0.0,1,0,360010021003000
506,11,63099,0.4375,0.75,-0.8333333333333334,0,360010137052014
507,11,31390,-0.75,0.5,1,0,360010018024005
508,11,19130,0.0,0.25,1,0,360010002001030
509,11,45605,0.9375,0.5,1,0,360010005022019
510,11,75888,-0.3125,0.5,1,0,360010139022010
511,11,14078,-0.25,0.0,1,0,360010140011009
512,11,56130,0.1875,0.5,1,0,360010135052000
513,11,78278,0.6875,0.5,1,0,360010146141000
514,11,35066,-0.0625,0.75,1,0,360010004032000
515,11,13519,-0.4375,0.0,1,0,360010139023000
516,11,13055,0.4375,0.75,1,0,360010139021015
517,11,54169,0.8125,0.75,1,0,360010141004003
518,11,38164,1.0,0.5,1,0,360010145031015
519,11,22961,0.4375,0.0,1,0,360010142024013
520,11,39225,0.0625,0.25,1,0,360010137071009
521,11,20849,0.0,0.5,1,0,360010022001002
522,11,34665,0.8125,-1.0,1,0,360010004034012
523,11,25508,0.3125,0.0,1,0,360010019022013
